"Freq [GHz]","dB(St(gnd_T1,gnd_T1)) []","dB(St(gnd_T2,gnd_T1)) []"
4.15,-0.217314491863491,-14.5977759810483
4.155,-0.217348913904154,-14.5929392033297
4.16,-0.217423056648721,-14.5871147607209
4.165,-0.217536866619228,-14.5803082745572
4.17,-0.217690327628747,-14.5725251906883
4.175,-0.217883460467497,-14.5637707835883
4.18,-0.218116322657959,-14.5540501603126
4.185,-0.218389008277242,-14.5433682643085
4.19,-0.218701647845437,-14.5317298790849
4.195,-0.219054408278677,-14.5191396317464
4.2,-0.219447492905892,-14.5056019963977
4.205,-0.21988114154855,-14.4911212974235
4.21,-0.22035563066262,-14.4757017126479
4.215,-0.220871273542403,-14.4593472763784
4.22,-0.221428420585905,-14.4420618823398
4.225,-0.222027459621663,-14.4238492865006
4.23,-0.222668816297066,-14.4047131097982
4.235,-0.223352954528365,-14.3846568407639
4.24,-0.224080377012769,-14.3636838380552
4.245,-0.224851625803181,-14.3417973328955
4.25,-0.225667282946188,-14.3190004314275
4.255,-0.226527971184196,-14.2952961169816
4.26,-0.227434354722748,-14.2706872522643
4.265,-0.228387140064071,-14.2451765814684
4.27,-0.229387076908299,-14.2187667323092
4.275,-0.23043495912374,-14.1914602179889
4.28,-0.231531625787894,-14.1632594390925
4.285,-0.232677962301002,-14.1341666854177
4.29,-0.233874901574086,-14.1041841377423
4.295,-0.235123425293661,-14.0733138695307
4.3,-0.23642456526543,-14.041557848583
4.305,-0.237779404839426,-14.0089179386293
4.31,-0.239189080419408,-13.9753959008711
4.315,-0.240654783059222,-13.9409933954729
4.32,-0.242177760149413,-13.9057119830068
4.325,-0.243759317197239,-13.8695531258512
4.33,-0.24540081970364,-13.8325181895483
4.335,-0.247103695140952,-13.7946084441207
4.34,-0.248869435035205,-13.7558250653513
4.345,-0.250699597157356,-13.7161691360282
4.35,-0.25259580782781,-13.6756416471571
4.355,-0.25455976433896,-13.6342434991446
4.36,-0.256593237500795,-13.5919755029539
4.365,-0.258698074314795,-13.5488383812374
4.37,-0.260876200781669,-13.5048327694469
4.375,-0.263129624848882,-13.4599592169259
4.38,-0.265460439504101,-13.4142181879872
4.385,-0.267870826021131,-13.367610062977
4.39,-0.270363057365251,-13.3201351393313
4.395,-0.272939501765109,-13.2717936326266
4.4,-0.275602626458981,-13.2225856776287
4.405,-0.278355001623249,-13.1725113293436
4.41,-0.281199304491658,-13.1215705640752
4.415,-0.284138323674214,-13.0697632804927
4.42,-0.287174963685037,-13.0170893007136
4.425,-0.290312249689025,-12.9635483714063
4.43,-0.29355333247753,-12.9091401649186
4.435,-0.296901493683946,-12.8538642804357
4.44,-0.300360151250501,-12.7977202451758
4.445,-0.303932865158048,-12.7407075156286
4.45,-0.307623343431397,-12.6828254788432
4.455,-0.311435448433169,-12.6240734537739
4.46,-0.315373203459701,-12.5644506926902
4.465,-0.319440799653339,-12.5039563826613
4.47,-0.323642603245927,-12.4425896471228
4.475,-0.327983163148952,-12.3803495475364
4.48,-0.332467218906553,-12.3172350851526
4.485,-0.337099709028189,-12.2532452028888
4.49,-0.341885779718434,-12.188378787334
4.495,-0.346830794022044,-12.1226346708944
4.5,-0.351940341403151,-12.056011634095
