"Freq [GHz]","dB(St(gnd_T1,gnd_T1)) []","dB(St(gnd_T2,gnd_T1)) []"
2.15,-0.456631533101961,-12.3636895607052
2.155,-0.44727514636527,-12.4868276747513
2.16,-0.43829653737109,-12.6083083680458
2.165,-0.42967611756882,-12.7281520492384
2.17,-0.421395514441616,-12.8463787722324
2.175,-0.4134374848797,-12.9630082293485
2.18,-0.405785835480801,-13.0780597463431
2.185,-0.398425349167074,-13.1915522790499
2.19,-0.391341717566467,-13.3035044114383
2.195,-0.38452147865891,-13.4139343549108
2.2,-0.37795195923483,-13.5228599486735
2.205,-0.371621221755854,-13.6302986610395
2.21,-0.36551801524558,-13.7362675915372
2.215,-0.359631729872596,-13.8407834737094
2.22,-0.35395235491888,-13.9438626785048
2.225,-0.348470439854399,-14.0455212181726
2.23,-0.343177058263878,-14.1457747505812
2.235,-0.338063774394605,-14.2446385838921
2.24,-0.333122612114122,-14.3421276815272
2.245,-0.328346026085895,-14.4382566673757
2.25,-0.323726874987061,-14.5330398311912
2.255,-0.319258396608197,-14.6264911341393
2.26,-0.314934184688366,-14.7186242144558
2.265,-0.310748167351481,-14.8094523931848
2.27,-0.306694587021217,-14.8989886799667
2.275,-0.30276798170196,-14.9872457788521
2.28,-0.298963167522905,-15.0742360941187
2.285,-0.295275222450556,-15.1599717360732
2.29,-0.291699471083049,-15.2444645268198
2.295,-0.288231470446348,-15.3277260059835
2.3,-0.284866996719251,-15.4097674363735
2.305,-0.281602032819731,-15.4905998095772
2.31,-0.278432756790549,-15.5702338514758
2.315,-0.275355530927047,-15.6486800276736
2.32,-0.272366891594554,-15.7259485488344
2.325,-0.269463539686719,-15.8020493759202
2.33,-0.266642331680201,-15.8769922253269
2.335,-0.263900271244105,-15.9507865739148
2.34,-0.261234501366236,-16.0234416639299
2.345,-0.258642296960799,-16.0949665078144
2.35,-0.256121057924711,-16.1653698929047
2.355,-0.253668302612656,-16.2346603860162
2.36,-0.251281661702665,-16.3028463379138
2.365,-0.248958872426362,-16.3699358876681
2.37,-0.246697773140008,-16.4359369668979
2.375,-0.244496298213836,-16.5008573038981
2.38,-0.242352473219275,-16.564704427655
2.385,-0.240264410394669,-16.6274856717496
2.39,-0.238230304371811,-16.689208178149
2.395,-0.236248428146698,-16.7498789008882
2.4,-0.234317129279069,-16.8095046096435
2.405,-0.232434826306528,-16.8680918931978
2.41,-0.230600005359794,-16.9256471628009
2.415,-0.228811216966759,-16.9821766554253
2.42,-0.227067073033781,-17.0376864369195
2.425,-0.225366243993458,-17.0921824050603
2.43,-0.223707456108764,-17.1456702925062
2.435,-0.2220894889243,-17.1981556696526
2.44,-0.220511172855879,-17.2496439473921
2.445,-0.218971386910196,-17.3001403797801
2.45,-0.21746905652717,-17.3496500666078
2.455,-0.216003151537579,-17.398177955885
2.46,-0.214572684229601,-17.4457288462334
2.465,-0.213176707517835,-17.4923073891924
2.47,-0.21181431320911,-17.5379180914387
2.475,-0.210484630359569,-17.5825653169221
2.48,-0.209186823718026,-17.6262532889178
2.485,-0.20792009225068,-17.6689860919973
2.49,-0.206683667742902,-17.7107676739192
2.495,-0.205476813473769,-17.7516018474414
2.5,-0.20429882295948,-17.791492292056
2.505,-0.203149018762014,-17.8304425556471
2.51,-0.202026751359516,-17.8684560560745
2.515,-0.200931398075294,-17.9055360826833
2.52,-0.199862362062227,-17.9416857977401
2.525,-0.19881907133992,-17.9769082377979
2.53,-0.197800977881943,-18.0112063149903
2.535,-0.196807556750421,-18.0445828182548
2.54,-0.195838305275955,-18.077040414488
2.545,-0.194892742280451,-18.1085816496318
2.55,-0.19397040734093,-18.1392089496919
2.555,-0.193070860092271,-18.1689246216898
2.56,-0.192193679567213,-18.1977308545474
2.565,-0.191338463571784,-18.225629719907
2.57,-0.190504828094672,-18.2526231728842
2.575,-0.189692406749004,-18.2787130527573
2.58,-0.18890085024511,-18.3039010835907
2.585,-0.1881298258931,-18.3281888747944
2.59,-0.187379017133833,-18.3515779216193
2.595,-0.186648123097333,-18.3740696055876
2.6,-0.185936858187475,-18.3956651948597
2.605,-0.18524495169201,-18.4163658445369
2.61,-0.18457214741702,-18.436172596899
2.615,-0.183918203344864,-18.4550863815789
2.62,-0.183282891314981,-18.4731080156714
2.625,-0.182665996726668,-18.4902382037771
2.63,-0.182067318263284,-18.5064775379817
2.635,-0.181486667637178,-18.5218264977685
2.64,-0.180923869354873,-18.5362854498655
2.645,-0.180378760501893,-18.5498546480245
2.65,-0.179851190546928,-18.5625342327334
2.655,-0.17934102116472,-18.574324230859
2.66,-0.178848126077557,-18.5852245552214
2.665,-0.178372390914819,-18.595235004097
2.67,-0.177913713090563,-18.6043552606507
2.675,-0.177472001698677,-18.612584892295
2.68,-0.177047177425614,-18.6199233499752
2.685,-0.176639172480486,-18.6263699673793
2.69,-0.176247930542473,-18.6319239600705
2.695,-0.175873406725439,-18.6365844245417
2.7,-0.175515567559884,-18.6403503371893
2.705,-0.175174390992128,-18.6432205532046
2.71,-0.174849866400921,-18.6451938053813
2.715,-0.174541994631595,-18.6462687028361
2.72,-0.174250788047943,-18.6464437296403
2.725,-0.173976270602029,-18.6457172433608
2.73,-0.173718477922287,-18.6440874735058
2.735,-0.173477457420144,-18.6415525198747
2.74,-0.173253268415677,-18.638110350807
2.745,-0.173045982282599,-18.6337588013288
2.75,-0.172855682613249,-18.6284955711915
2.755,-0.172682465404005,-18.6223182228004
2.76,-0.172526439261782,-18.6152241790291
2.765,-0.172387725632399,-18.6072107209137
2.77,-0.172266459051431,-18.5982749852251
2.775,-0.172162787418456,-18.5884139619121
2.78,-0.172076872295673,-18.5776244914102
2.785,-0.172008889231743,-18.5659032618132
2.79,-0.171959028112126,-18.5532468058972
2.795,-0.171927493536858,-18.5396514979947
2.8,-0.171914505227324,-18.5251135507093
2.805,-0.171920298463239,-18.5096290114651
2.81,-0.17194512455135,-18.4931937588811
2.815,-0.171989251327618,-18.4758034989646
2.82,-0.172052963694543,-18.4574537611118
2.825,-0.17213656419561,-18.4381398939079
2.83,-0.172240373628892,-18.4178570607139
2.835,-0.172364731702088,-18.3966002350313
2.84,-0.172509997731441,-18.3743641956289
2.845,-0.172676551387198,-18.351143521422
2.85,-0.172864793488346,-18.3269325860861
2.855,-0.173075146849885,-18.3017255523917
2.86,-0.173308057185987,-18.2755163662419
2.865,-0.173563994072478,-18.2482987503945
2.87,-0.173843451972914,-18.2200661978484
2.875,-0.174146951332308,-18.1908119648726
2.88,-0.174475039743379,-18.1605290636528
2.885,-0.174828293190261,-18.1292102545304
2.89,-0.175207317375376,-18.0968480378037
2.895,-0.175612749135474,-18.0634346450616
2.9,-0.17604525795348,-18.028962030013
2.905,-0.176505547573427,-17.993421858775
2.91,-0.176994357726373,-17.9568054995766
2.915,-0.177512465976105,-17.9191040118334
2.92,-0.178060689694188,-17.8803081345384
2.925,-0.178639888174807,-17.8404082739147
2.93,-0.179250964901222,-17.7993944902647
2.935,-0.179894869976507,-17.7572564839455
2.94,-0.180572602732906,-17.7139835803915
2.945,-0.18128521453546,-17.6695647140949
2.95,-0.182033811797553,-17.6239884114457
2.955,-0.182819559227737,-17.5772427723193
2.96,-0.183643683329723,-17.5293154502854
2.965,-0.184507476179829,-17.4801936312967
2.97,-0.185412299509284,-17.4298640106966
2.975,-0.186359589122056,-17.3783127683629
2.98,-0.187350859683078,-17.3255255417791
2.985,-0.188387709915903,-17.271487396797
2.99,-0.189471828254704,-17.216182795818
2.995,-0.190604999001137,-17.1595955630805
3,-0.191789109044385,-17.1017088466953
3.005,-0.193026155210979,-17.0425050770121
3.01,-0.194318252321146,-16.9819659208374
3.015,-0.195667642040708,-16.9200722309434
3.02,-0.197076702631571,-16.8568039902147
3.025,-0.198547959721404,-16.7921402496709
3.03,-0.200084098233675,-16.7260590594657
3.035,-0.20168797564438,-16.6585373918057
3.04,-0.203362636762669,-16.5895510545373
3.045,-0.205111330269845,-16.519074593915
3.05,-0.206937527297565,-16.4470811847775
3.055,-0.208844942383748,-16.3735425060098
3.06,-0.210837557215809,-16.2984285987373
3.065,-0.212919647661138,-16.2217077041715
3.07,-0.215095814698318,-16.1433460773664
3.075,-0.217371020007416,-16.0633077723308
3.08,-0.219750627163476,-15.9815543929195
3.085,-0.222240449617815,-15.8980448026412
3.09,-0.224846806964736,-15.8127347849026
3.095,-0.227576591403343,-15.7255766431505
3.1,-0.230437346850437,-15.636518727754
3.105,-0.233437363891875,-15.5455048731077
3.11,-0.236585794749053,-15.4524737241213
3.115,-0.239892793788572,-15.3573579256734
3.12,-0.243369690969672,-15.260083141369
3.125,-0.247029208232964,-15.1605668585326
3.13,-0.250885732523611,-15.0587169241169
3.135,-0.254955664431181,-14.9544297403033
3.14,-0.259257869113031,-14.8475880280117
3.145,-0.26381426750103,-14.7380580403108
3.15,-0.268650622766587,-14.6256860750928
3.155,-0.27379760287214,-14.5102940977654
3.16,-0.279292240110643,-14.3916742438852
3.165,-0.285179971814379,-14.2695819407619
3.17,-0.29151754829444,-14.1437273988043
3.175,-0.298377261393479,-14.0137653599225
3.18,-0.305853227295844,-13.8792834536099
3.185,-0.314070935241567,-13.7397907987198
3.19,-0.323202100135509,-13.5947118447208
3.195,-0.333488288806768,-13.4433990672781
3.2,-0.345279206783643,-13.2852005172309
3.205,-0.359095189485099,-13.1196778444166
3.21,-0.375726694338091,-12.947234579956
3.215,-0.396373365314455,-12.7708802569768
3.22,-0.422730274886213,-12.6011781970077
3.225,-0.456418005139042,-12.4697470738142
3.23,-0.49516584579938,-12.4597888094039
3.235,-0.521253555561717,-12.7215927191861
3.24,-0.503913821840355,-13.2500168272576
3.245,-0.456756492075971,-13.5858881882695
3.25,-0.421942999944335,-13.5053495336626
3.255,-0.407965712707416,-13.2309995290891
3.26,-0.407289309944756,-12.925878537894
3.265,-0.413803164006635,-12.6372524090721
3.27,-0.424327000640605,-12.3707609184315
3.275,-0.437342445062378,-12.1223990712474
3.28,-0.452137365603454,-11.8871976589464
3.285,-0.468389349023951,-11.6610546289425
3.29,-0.485972400754194,-11.4408724178046
3.295,-0.504865931593117,-11.2243554216112
3.3,-0.525110711476492,-11.0097933511371
3.305,-0.546787106407918,-10.7958929703445
3.31,-0.570004356542898,-10.5816579604812
3.315,-0.594895604310648,-10.3663052755911
3.32,-0.621616098375998,-10.1492071465495
3.325,-0.650343287472421,-9.92985072227711
3.33,-0.681278154019556,-9.70780983609181
3.335,-0.714647464909638,-9.48272519740949
3.34,-0.750706793625669,-9.25429054380677
3.345,-0.789744268812263,-9.02224311397037
3.35,-0.832085066251511,-8.78635735414461
3.355,-0.878096702313453,-8.54644114420452
3.36,-0.928195216610953,-8.30233408731615
3.365,-0.982852354120925,-8.05390759024592
3.37,-1.04260387375118,-7.80106659627052
3.375,-1.10805912022684,-7.54375293647713
3.38,-1.17991199587557,-7.28195034899971
3.385,-1.25895345204439,-7.01569128610875
3.39,-1.34608557584598,-6.7450656895277
3.395,-1.44233725968459,-6.47023196552238
3.4,-1.54888128179921,-6.19143043094623
3.405,-1.66705235429097,-5.90899952384959
3.41,-1.79836524652439,-5.62339506753785
3.415,-1.94453136778945,-5.33521282967153
3.42,-2.10747104331388,-5.04521450596313
3.425,-2.28931691503721,-4.75435705119764
3.43,-2.49240110504061,-4.46382494078051
3.435,-2.71921450456694,-4.17506443036128
3.44,-2.97232011439644,-3.8898181472612
3.445,-3.25419290040272,-3.61015736931381
3.45,-3.56694527047824,-3.33850813939568
3.455,-3.91187979057613,-3.07766602178003
3.46,-4.28879136533272,-2.8307930510214
3.465,-4.69492895470206,-2.60138964818386
3.47,-5.12354733347258,-2.39323455762708
3.475,-5.5620888607283,-2.21028787758886
3.48,-5.99033043096669,-2.05655662070791
3.485,-6.37940181540258,-1.9359291212131
3.49,-6.69329932731746,-1.85199335068898
3.495,-6.89463874472592,-1.80786307829816
3.5,-6.9545964281134,-1.80604215551845
3.505,-6.86316369354767,-1.84835812321243
3.51,-6.63344622899388,-1.93598954498681
3.515,-6.29697989363325,-2.06959524294332
3.52,-5.89359836212723,-2.24952394046542
3.525,-5.46221611432613,-2.47602435482438
3.53,-5.03627278707768,-2.74923919041039
3.535,-4.64392263109032,-3.06841717548345
3.54,-4.3114507362085,-3.4289145377735
3.545,-4.0680503179851,-3.81385508685956
3.55,-3.94780039272364,-4.17656453895626
3.555,-3.97575747715156,-4.42308353461462
3.56,-4.11631667659736,-4.45184551986394
3.565,-4.21892439868598,-4.28756670844378
3.57,-4.11873503741683,-4.1032391550818
3.575,-3.82126393394914,-4.03409872348857
3.58,-3.4463297385382,-4.09616258607588
3.585,-3.08277267767831,-4.25135522391022
3.59,-2.76313326490611,-4.46120705673831
3.595,-2.49095327707029,-4.69997160693692
3.6,-2.26039162926899,-4.95246007335595
3.605,-2.06409710053823,-5.21004691488425
3.61,-1.89556648609544,-5.46785927461769
3.615,-1.74956995006242,-5.72313112240642
3.62,-1.62201920586009,-5.97428829766844
3.625,-1.5097294786631,-6.22044322172037
3.63,-1.4102031858285,-6.46111244901744
3.635,-1.32146057150476,-6.69605556358847
3.64,-1.24191352371354,-6.92518111039199
3.645,-1.17027294341992,-7.1484903163214
3.65,-1.10548072342169,-7.36604260331949
3.655,-1.04665942849531,-7.57793396688305
3.66,-0.993074670141979,-7.78428313003707
3.665,-0.944106632079849,-7.98522250572322
3.67,-0.899228252684909,-8.18089219955232
3.675,-0.857988304376121,-8.37143597631587
3.68,-0.819998118455227,-8.55699852068869
3.685,-0.784921056633526,-8.73772356705687
3.69,-0.752464076586176,-8.91375262319088
3.695,-0.722370912083719,-9.08522410603329
3.7,-0.694416511394373,-9.25227276739406
3.705,-0.668402466151975,-9.41502932592722
3.71,-0.644153227199323,-9.5736202472113
3.715,-0.62151295117184,-9.72816763083927
3.72,-0.600342856684914,-9.87878917508257
3.725,-0.580518995330245,-10.0255981977779
3.73,-0.561930362655198,-10.1687036977808
3.735,-0.544477289581819,-10.3082104453946
3.74,-0.528070066523668,-10.4442190931294
3.745,-0.512627761650978,-10.5768263003031
3.75,-0.49807720197095,-10.7061248665944
3.755,-0.484352091599817,-10.8322038708574
3.76,-0.471392246151399,-10.9551488124093
3.765,-0.459142925815133,-11.0750417526934
3.77,-0.447554252640953,-11.1919614557428
3.775,-0.436580699938397,-11.3059835262811
3.78,-0.426180643648422,-11.4171805446041
3.785,-0.416315967147605,-11.5256221976351
3.79,-0.406951712264034,-11.631375405731
3.795,-0.398055770378141,-11.7345044449633
3.8,-0.38959860839104,-11.8350710647152
3.805,-0.381553025103089,-11.9331346005166
3.81,-0.373893934182505,-12.0287520821139
3.815,-0.366598170440424,-12.1219783368162
3.82,-0.359644316581598,-12.2128660882024
3.825,-0.353012547983968,-12.3014660503009
3.83,-0.346684493386703,-12.3878270173726
3.835,-0.340643109644502,-12.4719959494471
3.84,-0.334872568943914,-12.5540180537649
3.845,-0.329358157081406,-12.6339368622915
3.85,-0.324086181578462,-12.7117943054647
3.855,-0.31904388855988,-12.787630782344
3.86,-0.314219387452313,-12.8614852273219
3.865,-0.309601582672986,-12.9333951735616
3.87,-0.305180111576825,-13.0033968133161
3.875,-0.300945288015394,-13.0715250552807
3.88,-0.296888050935641,-13.137813579128
3.885,-0.29299991751135,-13.2022948873659
3.89,-0.289272940356943,-13.265000354654
3.895,-0.285699668423307,-13.3259602747096
3.9,-0.282273111218891,-13.3852039049278
3.905,-0.278986706037997,-13.4427595088323
3.91,-0.275834287911941,-13.4986543964719
3.915,-0.272810062028914,-13.5529149628681
3.92,-0.269908578394662,-13.6055667246161
3.925,-0.267124708529664,-13.6566343547362
3.93,-0.264453624019318,-13.7061417158661
