"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
2.8,-4.35879961272628,-2.98666506783408
2.81,-3.94693673951008,-3.27023511157298
2.82,-3.58988862453369,-3.55725026004583
2.83,-3.27889290438505,-3.84590023369241
2.84,-3.00681182586003,-4.13467197808483
2.85,-2.76778397045036,-4.42231787561184
2.86,-2.55696345007005,-4.7078227166783
2.87,-2.3703205926015,-4.99037161257014
2.88,-2.20448714235213,-5.26932016142594
2.89,-2.05663448677697,-5.54416754715964
2.9,-1.92437688054122,-5.81453281991062
2.91,-1.80569389595416,-6.08013433028831
2.92,-1.69886785183071,-6.34077212626474
2.93,-1.60243303189181,-6.59631303631879
2.94,-1.51513426041715,-6.84667812871293
2.95,-1.4358929560551,-7.09183223521916
2.96,-1.36377919704053,-7.33177524473679
2.97,-1.29798864331623,-7.56653489904798
2.98,-1.23782340052977,-7.79616085366527
2.99,-1.18267609644403,-8.02071979780378
3,-1.13201658529964,-8.24029145694734
3.01,-1.08538080975499,-8.45496532823653
3.02,-1.04236144031543,-8.66483802257938
3.03,-1.00259998397161,-8.87001110792983
3.04,-0.965780111131154,-9.07058936576355
3.05,-0.931621995934079,-9.2666793876813
3.06,-0.899877502076154,-9.45838845159737
3.07,-0.870326076175653,-9.64582362744665
3.08,-0.842771234957839,-9.82909107106438
3.09,-0.817037552233658,-10.0082954721296
3.1,-0.79296806771287,-10.1835396280554
3.11,-0.770422052827263,-10.3549241206617
3.12,-0.749273079511325,-10.5225470765539
3.13,-0.729407346746586,-10.6865039955053
3.14,-0.710722226980395,-10.8468876339188
3.15,-0.693125000571097,-11.0037879327393
3.16,-0.676531751419342,-11.1572919810735
3.17,-0.660866401108598,-11.3074840083354
3.18,-0.646059862348005,-11.4544453990158
3.19,-0.632049295409448,-11.5982547252351
3.2,-0.618777453679802,-11.7389877931115
3.21,-0.606192106487771,-11.8767176996976
3.22,-0.594245529082083,-12.0115148978299
3.23,-0.582894051085081,-12.1434472667311
3.24,-0.572097655971403,-12.2725801866048
3.25,-0.561819625158685,-12.3989766157997
3.26,-0.55202622117993,-12.5226971693944
3.27,-0.54268640515724,-12.6438001982809
3.28,-0.533771584437829,-12.7623418680132
3.29,-0.525255386800707,-12.8783762368412
3.3,-0.517113458111569,-12.9919553324758
3.31,-0.509323280706739,-13.1031292272376
3.32,-0.501864010133167,-13.2119461113253
3.33,-0.494716328170567,-13.3184523640103
3.34,-0.487862310319431,-13.4226926226213
3.35,-0.48128530616207,-13.5247098492295
3.36,-0.474969831197247,-13.6245453949805
3.37,-0.46890146891679,-13.7222390620536
3.38,-0.463066782038782,-13.8178291632478
3.39,-0.457453231939347,-13.911352579218
3.4,-0.452049105435834,-14.0028448133975
3.41,-0.4468434481717,-14.0923400446545
3.42,-0.441826003938168,-14.1798711777413
3.43,-0.436987159342566,-14.265469891598
3.44,-0.432317893298453,-14.3491666855821
3.45,-0.427809730870777,-14.4309909236933
3.46,-0.423454701059414,-14.510970876869
3.47,-0.419245298150024,-14.5891337634249
3.48,-0.415174446299939,-14.6655057877153
3.49,-0.411235467062516,-14.7401121770884
3.5,-0.407422049583955,-14.8129772172091
3.51,-0.403728223234249,-14.8841242858226
3.52,-0.400148332458419,-14.9535758850275
3.53,-0.39667701365584,-15.0213536721293
3.54,-0.393309173914886,-15.0874784891379
3.55,-0.390039971447221,-15.1519703909753
3.56,-0.386864797581626,-15.2148486724552
3.57,-0.383779260190986,-15.2761318940924
3.58,-0.380779168438006,-15.3358379068013
3.59,-0.377860518736815,-15.3939838755379
3.6,-0.375019481836854,-15.4505863019363
3.61,-0.37225239094471,-15.5056610459933
3.62,-0.369555730807182,-15.5592233468458
3.63,-0.366926127686194,-15.6112878426899
3.64,-0.364360340162313,-15.6618685898843
3.65,-0.361855250709655,-15.7109790812805
3.66,-0.359407857989727,-15.7586322638196
